state,crop,season,N,P,K,pH,water_requirement,soil,temperature_c,irrigation_method,input_cost_per_ha,yield_q_ha
Arunachal Pradesh,Walnut,Rabi,114,46,42,6.8,1050,Red,10-21,Drip,110797.4,20.597658000000024
Arunachal Pradesh,Walnut,Rabi,121,50,44,6.4,1028,Red,9-21,Drip,113314.92,22.4337
Arunachal Pradesh,Walnut,Rabi,116,45,39,6.5,1075,Red,8-22,Drip,111955.17,20.8714
Arunachal Pradesh,Walnut,Rabi,91,47,56,7.0,955,Red,9-23,Drip,113565.86,14.485318999999974
Arunachal Pradesh,Walnut,Rabi,85,51,53,6.7,993,Red,7-22,Drip,110893.65,13.7603
Arunachal Pradesh,Walnut,Rabi,80,43,57,6.8,882,Red,11-25,Drip,110379.9,13.5015
Arunachal Pradesh,Walnut,Rabi,109,59,44,6.6,1000,Red,10-25,Drip,113879.48,16.633955999999976
Arunachal Pradesh,Walnut,Rabi,118,60,46,6.3,1068,Red,9-24,Drip,111701.01,15.4888
Arunachal Pradesh,Walnut,Rabi,111,63,43,6.8,981,Red,9-27,Drip,111199.33,16.1492
Arunachal Pradesh,Walnut,Rabi,98,53,45,7.3,822,Red,8-25,Drip,113576.63,15.438295
Arunachal Pradesh,Walnut,Rabi,93,53,51,7.0,833,Red,9-27,Drip,110808.66,16.5756
Arunachal Pradesh,Walnut,Rabi,85,56,46,7.5,796,Red,7-24,Drip,111877.83,14.714
Arunachal Pradesh,Walnut,Rabi,90,42,48,6.8,981,Red,8-22,Drip,109399.1,13.93361599999998
Arunachal Pradesh,Walnut,Rabi,90,48,50,6.5,888,Red,9-23,Drip,110767.05,13.1416
Arunachal Pradesh,Walnut,Rabi,92,38,50,6.6,998,Red,8-24,Drip,110195.68,12.738
Arunachal Pradesh,Walnut,Rabi,94,64,39,7.0,925,Red,9-24,Drip,111261.93,15.550959000000004
Arunachal Pradesh,Walnut,Rabi,80,55,36,7.2,952,Red,9-24,Drip,110155.56,14.2199
Arunachal Pradesh,Walnut,Rabi,105,70,42,6.9,1005,Red,9-22,Drip,113405.81,15.3632
Arunachal Pradesh,Wheat,Rabi,143,70,47,7.2,451,Alluvial,8-25,Furrow,49137.2,255.50125700000007
Arunachal Pradesh,Wheat,Rabi,124,69,44,7.5,426,Alluvial,10-27,Furrow,49995.39,277.8092
Arunachal Pradesh,Wheat,Rabi,139,68,45,7.5,495,Alluvial,10-23,Furrow,48922.03,278.6597
Arunachal Pradesh,Wheat,Rabi,134,55,37,6.6,554,Alluvial,12-25,Furrow,49004.77,29.165778000000003
Arunachal Pradesh,Wheat,Rabi,137,55,34,6.9,577,Alluvial,10-26,Furrow,48642.42,31.1262
Arunachal Pradesh,Wheat,Rabi,127,52,32,6.2,554,Alluvial,11-25,Furrow,47785.06,28.6165
Arunachal Pradesh,Wheat,Rabi,140,45,34,7.1,474,Alluvial,7-23,Furrow,48886.51,31.819215000000007
Arunachal Pradesh,Wheat,Rabi,145,49,35,7.1,450,Alluvial,9-23,Furrow,47809.01,34.5203
Arunachal Pradesh,Wheat,Rabi,157,45,33,7.2,462,Alluvial,6-22,Furrow,47605.1,31.9311
Arunachal Pradesh,Wheat,Rabi,134,59,43,7.0,606,Alluvial,9-26,Furrow,49644.63,29.244284
Arunachal Pradesh,Wheat,Rabi,127,65,44,7.3,663,Alluvial,8-25,Furrow,49828.69,29.7412
Arunachal Pradesh,Wheat,Rabi,139,63,48,6.9,568,Alluvial,7-24,Furrow,48981.27,31.1279
Arunachal Pradesh,Wheat,Rabi,130,55,44,7.3,452,Alluvial,12-28,Furrow,47994.81,31.819215000000007
Arunachal Pradesh,Wheat,Rabi,145,50,43,7.6,470,Alluvial,11-30,Furrow,48670.96,31.0621
Arunachal Pradesh,Wheat,Rabi,141,48,40,7.6,440,Alluvial,13-29,Furrow,48490.85,28.743
Arunachal Pradesh,Wheat,Rabi,118,66,43,7.7,415,Alluvial,10-23,Furrow,48405.35,31.819215000000007
Arunachal Pradesh,Wheat,Rabi,116,58,44,7.4,379,Alluvial,10-22,Furrow,49337.67,31.3037
Arunachal Pradesh,Wheat,Rabi,107,60,46,7.7,430,Alluvial,11-22,Furrow,48083.76,32.2464
Arunachal Pradesh,Wheat,Rabi,138,64,42,7.6,581,Alluvial,13-27,Furrow,49874.13,29.244284
Arunachal Pradesh,Wheat,Rabi,153,68,40,7.7,613,Alluvial,11-28,Furrow,49258.13,29.8796
Arunachal Pradesh,Wheat,Rabi,142,69,44,7.7,564,Alluvial,13-28,Furrow,49526.01,30.4525
Arunachal Pradesh,Wheat,Rabi,125,67,42,6.9,509,Black,8-24,Furrow,49858.26,21.920281000000024
Arunachal Pradesh,Wheat,Rabi,117,62,43,6.6,550,Black,9-26,Furrow,49610.86,22.6497
Arunachal Pradesh,Wheat,Rabi,112,69,47,7.0,524,Black,10-24,Furrow,49807.72,22.1898
Arunachal Pradesh,Wheat,Rabi,135,57,43,7.3,471,Black,12-23,Furrow,49361.21,235.14356299999983
Arunachal Pradesh,Wheat,Rabi,128,63,47,7.4,428,Black,11-23,Furrow,48873.8,249.1326
Arunachal Pradesh,Wheat,Rabi,123,56,41,7.2,491,Black,14-24,Furrow,48967.29,223.65
Arunachal Pradesh,Wheat,Rabi,141,67,32,7.6,467,Black,11-25,Furrow,49676.07,23.80917700000002
Arunachal Pradesh,Wheat,Rabi,142,64,30,7.6,465,Black,10-25,Furrow,48570.25,25.2116
Arunachal Pradesh,Wheat,Rabi,146,72,32,7.9,512,Black,11-25,Furrow,48848.94,22.4318
Arunachal Pradesh,Wheat,Rabi,129,63,30,7.2,544,Black,8-25,Furrow,49314.35,21.891981000000023
Arunachal Pradesh,Wheat,Rabi,122,54,29,7.5,572,Black,9-24,Furrow,49025.83,22.0413
Arunachal Pradesh,Wheat,Rabi,133,64,29,6.9,533,Black,6-23,Furrow,48412.65,23.989
Arunachal Pradesh,Wheat,Rabi,139,71,43,6.8,573,Black,12-26,Furrow,48931.99,21.891981000000023
Arunachal Pradesh,Wheat,Rabi,159,71,49,6.6,601,Black,10-26,Furrow,50751.34,22.8643
Arunachal Pradesh,Wheat,Rabi,123,80,42,6.7,533,Black,11-28,Furrow,49533.08,22.593
Arunachal Pradesh,Wheat,Rabi,88,53,37,7.0,414,Black,10-22,Furrow,48485.66,25.334491
Arunachal Pradesh,Wheat,Rabi,90,53,40,7.1,387,Black,11-21,Furrow,47726.79,24.214
Arunachal Pradesh,Wheat,Rabi,80,48,34,6.9,446,Black,9-24,Furrow,46748.97,25.3055
Arunachal Pradesh,Wheat,Rabi,91,74,42,7.3,496,Black,8-26,Furrow,49370.83,12.276596000000009
Arunachal Pradesh,Wheat,Rabi,80,81,45,7.3,483,Black,7-24,Furrow,48490.18,12.2672
Arunachal Pradesh,Wheat,Rabi,95,66,37,7.6,510,Black,10-25,Furrow,48217.77,13.2302
Assam,Apple,Rabi,99,43,94,5.3,1049,Alluvial,4-23,Drip,125308.18,92.20278899999992
Assam,Apple,Rabi,90,41,95,5.6,1002,Alluvial,3-21,Drip,126847.98,95.5801
Assam,Apple,Rabi,100,40,108,5.5,1019,Alluvial,6-25,Drip,126104.31,94.9745
Assam,Apple,Rabi,112,53,106,6.0,1006,Alluvial,2-21,Drip,126106.85,75.46562199999995
Assam,Apple,Rabi,119,55,117,6.3,912,Alluvial,0-20,Drip,129316.46,71.8103
Assam,Apple,Rabi,118,51,108,6.2,997,Alluvial,2-21,Drip,127198.03,75.7348
Assam,Apple,Rabi,91,52,106,5.9,995,Alluvial,3-22,Drip,124126.82,91.90441999999992
Assam,Apple,Rabi,98,54,96,6.1,910,Alluvial,4-20,Drip,125612.78,91.3588
Assam,Apple,Rabi,94,58,110,5.9,1067,Alluvial,4-23,Drip,125382.49,83.874
Assam,Apple,Rabi,106,51,92,5.9,1194,Alluvial,4-18,Drip,123691.64,93.62856599999992
Assam,Apple,Rabi,103,58,95,6.2,1191,Alluvial,6-19,Drip,126903.53,85.4227
Assam,Apple,Rabi,115,57,104,6.1,1271,Alluvial,3-19,Drip,124488.92,92.476
Assam,Apple,Rabi,77,50,124,5.7,1095,Alluvial,4-20,Drip,127304.18,91.90441999999992
Assam,Apple,Rabi,84,54,131,5.4,1074,Alluvial,5-18,Drip,125965.92,89.7097
Assam,Apple,Rabi,74,53,125,5.6,1098,Alluvial,5-19,Drip,127531.92,99.1228
Assam,Apple,Rabi,98,48,98,5.5,1052,Alluvial,1-18,Drip,124914.46,93.62856599999992
Assam,Apple,Rabi,106,51,89,5.7,1157,Alluvial,-1-19,Drip,124243.56,87.8031
Assam,Apple,Rabi,97,53,94,5.2,1072,Alluvial,-1-20,Drip,126494.74,99.9912
Assam,Apple,Rabi,117,55,98,6.2,1163,Alluvial,7-23,Drip,126268.01,88.51105199999995
Assam,Apple,Rabi,129,52,90,5.9,1122,Alluvial,7-25,Drip,126534.39,85.2478
Assam,Apple,Rabi,117,56,109,6.1,1218,Alluvial,6-22,Drip,125609.33,88.4904
Assam,Apple,Rabi,94,51,75,5.6,1006,Red,4-20,Drip,125293.01,77.37097599999991
Assam,Apple,Rabi,99,44,86,5.9,932,Red,3-22,Drip,123016.45,78.9665
Assam,Apple,Rabi,97,56,69,5.7,1085,Red,2-22,Drip,125392.65,79.8103
Assam,Apple,Rabi,113,56,103,6.0,1143,Red,6-24,Drip,125411.48,61.95637599999999
Assam,Apple,Rabi,98,63,110,6.4,1237,Red,7-24,Drip,127383.56,66.9695
Assam,Apple,Rabi,120,52,116,5.8,1169,Red,6-24,Drip,126670.13,57.3387
Assam,Apple,Rabi,114,47,84,5.6,896,Red,3-20,Drip,127936.74,81.6555639999999
Assam,Apple,Rabi,121,50,93,5.3,841,Red,4-22,Drip,125573.81,84.7437
Assam,Apple,Rabi,109,42,90,5.3,937,Red,3-21,Drip,124380.98,85.0043
Assam,Apple,Rabi,106,56,103,5.8,973,Red,1-18,Drip,127224.47,71.69525899999995
Assam,Apple,Rabi,95,57,90,5.5,902,Red,3-20,Drip,126531.93,68.0708
Assam,Apple,Rabi,111,50,108,5.4,947,Red,-1-17,Drip,127783.73,70.1192
Assam,Apple,Rabi,82,52,83,5.9,852,Red,4-19,Drip,123133.85,71.38278699999995
Assam,Apple,Rabi,82,49,88,5.7,800,Red,3-19,Drip,124193.16,71.1458
Assam,Apple,Rabi,89,60,90,5.6,865,Red,4-21,Drip,127523.94,77.7853
Assam,Apple,Rabi,91,61,104,5.9,1063,Red,3-19,Drip,128512.17,71.69525899999995
Assam,Apple,Rabi,97,56,94,5.9,969,Red,5-19,Drip,124588.81,67.544
Assam,Apple,Rabi,98,56,105,5.7,1169,Red,4-20,Drip,128025.38,77.0666
Assam,Apple,Rabi,88,49,124,5.9,881,Red,6-20,Drip,128664.02,79.9913349999999
Assam,Apple,Rabi,83,44,141,5.6,937,Red,4-20,Drip,129940.0,76.9876
Assam,Apple,Rabi,99,48,140,5.8,795,Red,8-20,Drip,128584.43,78.8952
Assam,Arecanut,Whole Year,116,34,122,6.5,1283,Alluvial,16-34,Flood,95738.11,19.033569999999983
Assam,Arecanut,Whole Year,113,38,104,6.5,1317,Alluvial,14-36,Flood,94506.58,19.7038
Assam,Arecanut,Whole Year,131,39,135,6.5,1334,Alluvial,15-36,Flood,97202.56,19.2993
Assam,Arecanut,Whole Year,103,33,170,6.2,1503,Alluvial,12-34,Flood,99376.08,25.765019
Assam,Arecanut,Whole Year,99,36,175,6.3,1402,Alluvial,11-32,Flood,96422.38,26.8689
Assam,Arecanut,Whole Year,91,33,168,5.9,1547,Alluvial,10-35,Flood,99146.73,26.2708
Assam,Arecanut,Whole Year,111,50,159,6.8,1508,Alluvial,14-37,Flood,100081.14,16.921908000000002
Assam,Arecanut,Whole Year,112,55,162,7.2,1593,Alluvial,14-39,Flood,98289.98,17.4978
Assam,Arecanut,Whole Year,123,49,169,6.6,1560,Alluvial,16-39,Flood,96861.76,17.9823
Assam,Arecanut,Whole Year,88,50,137,6.4,1417,Alluvial,10-36,Flood,95303.66,26.286857000000023
Assam,Arecanut,Whole Year,87,49,156,6.3,1301,Alluvial,8-37,Flood,98659.18,25.5793
Assam,Arecanut,Whole Year,75,50,132,6.3,1359,Alluvial,9-34,Flood,98173.56,24.6546
Assam,Arecanut,Whole Year,91,49,134,6.8,1339,Alluvial,15-35,Flood,97861.78,28.884062000000032
Assam,Arecanut,Whole Year,92,53,147,6.7,1265,Alluvial,13-37,Flood,96766.75,29.9645
Assam,Arecanut,Whole Year,85,50,129,6.5,1371,Alluvial,15-33,Flood,96684.35,26.7242
Assam,Arecanut,Whole Year,108,39,128,6.5,1452,Alluvial,13-37,Flood,95620.48,24.263655999999987
Assam,Arecanut,Whole Year,101,37,139,6.2,1346,Alluvial,13-37,Flood,95232.67,25.3321
Assam,Arecanut,Whole Year,92,38,110,6.2,1422,Alluvial,12-37,Flood,94899.74,26.194
Assam,Arecanut,Whole Year,103,48,138,6.8,1554,Alluvial,13-33,Flood,98393.26,17.983568999999985
Assam,Arecanut,Whole Year,103,53,145,7.2,1705,Alluvial,14-33,Flood,97591.99,17.4706
Assam,Arecanut,Whole Year,102,55,126,6.8,1545,Alluvial,15-35,Flood,95977.79,16.5755
Assam,Arecanut,Whole Year,101,46,129,6.0,1632,Red,12-37,Flood,95913.3,20.126609
Assam,Arecanut,Whole Year,86,40,137,6.0,1667,Red,14-35,Flood,97877.92,21.7845
Assam,Arecanut,Whole Year,90,40,145,5.7,1507,Red,11-39,Flood,97307.5,20.6893
Assam,Arecanut,Whole Year,96,39,118,6.3,1597,Red,17-37,Flood,94851.41,14.873680000000002
Assam,Arecanut,Whole Year,83,34,109,6.2,1440,Red,15-37,Flood,96551.38,14.2366
Assam,Arecanut,Whole Year,107,44,127,6.7,1745,Red,15-37,Flood,96699.22,15.4438
Assam,Arecanut,Whole Year,104,50,137,6.3,1230,Red,13-36,Flood,98327.33,18.60126499999999
Assam,Arecanut,Whole Year,99,51,125,6.4,1242,Red,13-34,Flood,96486.34,19.8815
Assam,Arecanut,Whole Year,113,47,131,6.6,1181,Red,12-35,Flood,96428.98,16.9819
Assam,Arecanut,Whole Year,83,34,151,7.2,1555,Red,16-34,Flood,96040.6,28.383218000000003
Assam,Arecanut,Whole Year,92,30,139,6.9,1585,Red,17-34,Flood,95599.45,30.3424
Assam,Arecanut,Whole Year,73,37,171,7.1,1617,Red,18-35,Flood,96239.07,26.056
Assam,Arecanut,Whole Year,107,40,157,6.6,1617,Red,14-35,Flood,99298.72,14.873680000000002
Assam,Arecanut,Whole Year,98,42,146,6.5,1605,Red,12-37,Flood,95954.68,15.8145
Assam,Arecanut,Whole Year,97,45,151,6.4,1721,Red,14-36,Flood,99457.09,16.2853
Assam,Arecanut,Whole Year,84,40,116,6.1,1400,Red,17-35,Flood,96474.43,26.574324999999995
Assam,Arecanut,Whole Year,80,45,127,6.1,1342,Red,17-36,Flood,97866.61,25.6808
Assam,Arecanut,Whole Year,84,44,130,6.1,1344,Red,15-35,Flood,95420.14,27.6527
Assam,Arecanut,Whole Year,82,44,124,6.4,1366,Red,12-36,Flood,94779.12,18.136161
Assam,Arecanut,Whole Year,82,47,117,6.1,1342,Red,13-34,Flood,98052.83,18.6401
Assam,Arecanut,Whole Year,82,50,113,6.5,1322,Red,14-36,Flood,96645.47,17.0153
Assam,Banana,Whole Year,190,45,371,7.6,1322,Alluvial,21-31,Flood,76236.8,356.45540800000026
Assam,Banana,Whole Year,217,45,399,7.8,1279,Alluvial,21-30,Flood,76665.54,327.8553
Assam,Banana,Whole Year,197,46,326,8.0,1408,Alluvial,22-29,Flood,75640.51,361.5394
Assam,Banana,Whole Year,182,56,294,6.8,1204,Alluvial,21-30,Flood,75037.72,356.45540800000026
Assam,Banana,Whole Year,158,59,251,7.1,1227,Alluvial,21-32,Flood,71461.05,390.4515
Assam,Banana,Whole Year,175,49,269,7.1,1291,Alluvial,19-29,Flood,73850.98,373.9628
Assam,Banana,Whole Year,224,54,325,7.6,1800,Alluvial,20-28,Flood,74445.57,356.45540800000026
Assam,Banana,Whole Year,252,49,339,7.5,1627,Alluvial,19-27,Flood,74988.63,344.2301
Assam,Banana,Whole Year,255,47,310,7.9,1972,Alluvial,19-27,Flood,75832.08,358.6117
Assam,Banana,Whole Year,187,47,299,7.0,1238,Alluvial,21-33,Flood,72879.3,413.5900320000003
Assam,Banana,Whole Year,194,47,315,6.8,1245,Alluvial,23-33,Flood,75768.11,390.1606
Assam,Banana,Whole Year,163,44,343,7.4,1197,Alluvial,22-35,Flood,73971.52,421.8781
Assam,Banana,Whole Year,182,52,332,6.9,1408,Alluvial,20-27,Flood,76034.09,356.45540800000026
Assam,Banana,Whole Year,164,54,338,6.6,1372,Alluvial,22-26,Flood,76339.86,362.7201
Assam,Banana,Whole Year,179,59,300,6.9,1303,Alluvial,22-28,Flood,75045.17,359.4623
Assam,Banana,Whole Year,198,50,295,6.7,1757,Alluvial,17-29,Flood,74415.26,356.45540800000026
Assam,Banana,Whole Year,219,49,335,6.8,1761,Alluvial,18-27,Flood,74911.49,354.5246
Assam,Banana,Whole Year,187,43,257,6.4,1595,Alluvial,18-27,Flood,70781.98,381.9244
Assam,Banana,Whole Year,212,41,276,6.7,1449,Alluvial,19-32,Flood,72185.01,356.45540800000026
Assam,Banana,Whole Year,197,44,299,6.4,1391,Alluvial,18-32,Flood,72423.05,384.2405
Assam,Banana,Whole Year,188,39,279,6.3,1315,Alluvial,20-30,Flood,71812.16,350.789
Assam,Banana,Whole Year,204,58,269,6.8,1577,Red,18-30,Flood,73659.09,320.7487669999995
Assam,Banana,Whole Year,214,61,304,7.1,1527,Red,17-29,Flood,75263.15,315.0436
Assam,Banana,Whole Year,232,65,231,6.9,1446,Red,16-29,Flood,73478.55,320.797
Assam,Banana,Whole Year,200,47,300,7.3,1664,Red,21-29,Flood,73190.07,332.8295419999995
Assam,Banana,Whole Year,206,44,277,7.5,1723,Red,21-27,Flood,72912.49,310.9203
Assam,Banana,Whole Year,210,45,291,6.9,1816,Red,23-28,Flood,72782.07,310.0618
Assam,Banana,Whole Year,175,46,366,6.9,1189,Red,21-29,Flood,76222.17,85.61745300000001
Assam,Banana,Whole Year,201,46,385,6.9,1091,Red,23-31,Flood,75899.98,78.3282
Assam,Banana,Whole Year,200,47,374,7.0,1138,Red,23-28,Flood,75432.89,77.1573
Assam,Banana,Whole Year,229,55,373,6.7,1360,Red,18-27,Flood,76608.39,295.46304299999946
Assam,Banana,Whole Year,239,60,424,6.5,1380,Red,16-29,Flood,79922.37,282.7614
Assam,Banana,Whole Year,257,50,343,6.9,1240,Red,17-25,Flood,76074.2,302.7888
Assam,Banana,Whole Year,189,39,325,7.3,1659,Red,19-31,Flood,74848.87,85.894997
Assam,Banana,Whole Year,164,35,285,7.7,1745,Red,18-31,Flood,73327.18,85.409
Assam,Banana,Whole Year,168,41,373,7.2,1630,Red,19-30,Flood,77203.93,90.5556
Assam,Banana,Whole Year,241,47,280,7.2,1317,Red,21-28,Flood,72974.19,320.7487669999995
Assam,Banana,Whole Year,219,44,304,7.2,1323,Red,21-28,Flood,74449.28,323.0255
Assam,Banana,Whole Year,266,45,306,7.1,1438,Red,20-27,Flood,75118.24,317.9631
Assam,Banana,Whole Year,204,62,283,6.9,1794,Red,18-28,Flood,74524.19,295.46304299999946
Assam,Banana,Whole Year,180,63,245,6.9,1849,Red,20-30,Flood,72261.89,270.8384
Assam,Banana,Whole Year,178,61,286,6.6,1964,Red,19-29,Flood,74533.16,321.3588
Assam,Chickpea,Rabi,20,48,17,7.8,300,Alluvial,17-27,Sprinkler,36812.77,10.247273999999996
Assam,Chickpea,Rabi,18,43,16,8.2,327,Alluvial,15-29,Sprinkler,37244.59,9.7987
Assam,Chickpea,Rabi,19,48,17,7.6,289,Alluvial,18-28,Sprinkler,37512.0,9.6271
Assam,Chickpea,Rabi,23,32,17,7.8,280,Alluvial,11-22,Sprinkler,36575.77,0.5934019999999995
Assam,Chickpea,Rabi,22,33,19,7.8,280,Alluvial,11-21,Sprinkler,37347.79,0.5695
Assam,Chickpea,Rabi,22,28,16,7.4,280,Alluvial,11-20,Sprinkler,35848.36,0.5546
Assam,Chickpea,Rabi,16,31,18,7.9,288,Alluvial,11-22,Sprinkler,36865.36,0.5934019999999995
Assam,Chickpea,Rabi,17,32,18,7.6,271,Alluvial,10-22,Sprinkler,36847.3,0.5805
Assam,Chickpea,Rabi,16,28,15,7.7,277,Alluvial,12-23,Sprinkler,35808.77,0.538
Assam,Chickpea,Rabi,16,48,16,7.6,280,Alluvial,18-24,Sprinkler,36696.17,10.247273999999996
Assam,Chickpea,Rabi,16,48,16,7.4,306,Alluvial,20-25,Sprinkler,36811.1,10.0756
Assam,Chickpea,Rabi,16,42,16,7.6,297,Alluvial,17-26,Sprinkler,36297.81,11.2077
Assam,Chickpea,Rabi,25,42,16,7.5,361,Alluvial,18-24,Sprinkler,37387.64,10.185131999999996
Assam,Chickpea,Rabi,28,44,14,7.3,394,Alluvial,18-25,Sprinkler,36351.33,9.835
Assam,Chickpea,Rabi,28,44,14,7.2,391,Alluvial,17-22,Sprinkler,36289.73,9.8956
Assam,Chickpea,Rabi,17,31,18,7.0,312,Alluvial,15-24,Sprinkler,36082.64,9.845176
Assam,Chickpea,Rabi,15,32,20,7.2,299,Alluvial,14-26,Sprinkler,36398.02,9.1666
Assam,Chickpea,Rabi,16,35,17,7.3,323,Alluvial,15-22,Sprinkler,36632.28,10.7103
Assam,Chickpea,Rabi,22,37,21,7.1,259,Alluvial,15-26,Sprinkler,37494.53,10.100580999999996
Assam,Chickpea,Rabi,19,42,23,7.2,249,Alluvial,15-25,Sprinkler,36482.91,10.6609
Assam,Chickpea,Rabi,24,35,20,6.8,235,Alluvial,15-24,Sprinkler,36251.44,9.4863
Assam,Chickpea,Rabi,21,48,18,7.9,341,Black,15-24,Sprinkler,37147.74,8.400154999999996
Assam,Chickpea,Rabi,21,46,16,8.3,346,Black,17-22,Sprinkler,37677.12,9.2396
Assam,Chickpea,Rabi,21,48,16,8.0,345,Black,16-23,Sprinkler,37702.32,7.8806
Assam,Chickpea,Rabi,17,42,16,7.4,336,Black,16-28,Sprinkler,36185.63,8.027619999999999
Assam,Chickpea,Rabi,17,42,18,7.1,333,Black,15-29,Sprinkler,37062.65,7.3099
Assam,Chickpea,Rabi,15,44,18,7.0,345,Black,15-26,Sprinkler,36800.04,8.4525
Assam,Chickpea,Rabi,24,48,19,7.8,280,Black,14-21,Sprinkler,37240.73,0.5447829999999991
Assam,Chickpea,Rabi,22,46,17,7.9,302,Black,13-23,Sprinkler,37516.8,0.5841
Assam,Chickpea,Rabi,25,45,20,7.7,302,Black,14-23,Sprinkler,37010.42,0.5076
Assam,Chickpea,Rabi,16,42,17,7.6,282,Black,15-23,Sprinkler,36396.19,8.331854999999996
Assam,Chickpea,Rabi,17,46,17,7.3,299,Black,14-22,Sprinkler,37323.11,9.0053
Assam,Chickpea,Rabi,14,43,19,7.7,302,Black,17-25,Sprinkler,37068.17,9.0014
Assam,Chickpea,Rabi,22,49,20,7.8,316,Black,15-28,Sprinkler,37813.18,8.149403999999997
Assam,Chickpea,Rabi,24,52,22,8.2,335,Black,13-28,Sprinkler,38088.87,8.1309
Assam,Chickpea,Rabi,22,50,17,7.7,317,Black,17-30,Sprinkler,37430.82,8.2939
Assam,Chickpea,Rabi,18,41,20,7.2,325,Black,15-24,Sprinkler,36602.12,8.092676999999997
Assam,Chickpea,Rabi,17,45,18,7.5,309,Black,16-26,Sprinkler,37632.3,8.3405
Assam,Chickpea,Rabi,17,45,22,7.5,333,Black,16-25,Sprinkler,37594.57,8.4977
Assam,Chickpea,Rabi,18,38,15,6.8,311,Black,15-24,Sprinkler,37179.73,8.007263
Assam,Chickpea,Rabi,16,40,16,6.6,314,Black,17-26,Sprinkler,37082.7,8.1755
Assam,Chickpea,Rabi,16,39,13,7.2,298,Black,13-23,Sprinkler,36792.57,7.2686
Assam,Chickpea,Rabi,17,49,20,7.3,290,Red,13-23,Sprinkler,37581.88,0.5347380000000004
Assam,Chickpea,Rabi,17,46,22,7.5,266,Red,15-22,Sprinkler,37869.4,0.4912
Assam,Chickpea,Rabi,17,44,22,7.5,280,Red,13-25,Sprinkler,37140.03,0.5441
Assam,Chickpea,Rabi,18,39,18,7.6,353,Red,14-27,Sprinkler,37455.34,7.911512999999992
Assam,Chickpea,Rabi,16,42,20,7.6,340,Red,16-27,Sprinkler,36878.63,8.1857
Assam,Chickpea,Rabi,16,36,18,7.9,369,Red,13-29,Sprinkler,36061.05,7.6245
Assam,Chickpea,Rabi,18,38,24,7.3,282,Red,14-22,Sprinkler,36704.88,0.5575260000000004
Assam,Chickpea,Rabi,17,41,21,7.0,296,Red,13-24,Sprinkler,36496.4,0.508
Assam,Chickpea,Rabi,19,34,23,7.6,268,Red,15-22,Sprinkler,36204.29,0.516
Assam,Chickpea,Rabi,21,38,16,7.3,297,Red,17-24,Sprinkler,36866.55,7.846300999999991
Assam,Chickpea,Rabi,24,43,16,7.7,302,Red,17-26,Sprinkler,36716.63,7.999
Assam,Chickpea,Rabi,22,34,15,7.7,290,Red,16-26,Sprinkler,36486.75,8.0227
Assam,Chickpea,Rabi,23,32,17,7.3,280,Red,16-23,Sprinkler,36539.01,7.857966999999994
Assam,Chickpea,Rabi,23,28,18,7.5,292,Red,18-21,Sprinkler,36311.67,7.2357
Assam,Chickpea,Rabi,20,35,17,7.1,258,Red,17-25,Sprinkler,36674.71,8.0039
Assam,Chickpea,Rabi,23,38,18,7.5,333,Red,14-27,Sprinkler,36647.51,8.035192999999992
Assam,Chickpea,Rabi,20,34,18,7.5,326,Red,15-28,Sprinkler,36234.76,8.1964
Assam,Chickpea,Rabi,22,36,16,7.5,355,Red,14-28,Sprinkler,36759.24,7.7853
Assam,Chickpea,Rabi,22,36,16,7.5,288,Red,12-24,Sprinkler,37349.93,0.5418350000000003
Assam,Chickpea,Rabi,19,34,17,7.6,269,Red,13-25,Sprinkler,37141.15,0.5479
Assam,Chickpea,Rabi,22,39,14,7.4,283,Red,11-25,Sprinkler,36889.66,0.5089
Assam,Coconut,Whole Year,93,59,239,6.3,1304,Alluvial,22-31,Flood,84877.01,118.202475
Assam,Coconut,Whole Year,88,66,250,6.1,1311,Alluvial,24-33,Flood,85449.01,114.4736
Assam,Coconut,Whole Year,96,53,204,6.2,1185,Alluvial,21-31,Flood,85625.83,116.4125
Assam,Coconut,Whole Year,81,65,289,6.5,1417,Alluvial,18-28,Flood,86566.58,115.689082
Assam,Coconut,Whole Year,71,70,262,6.8,1337,Alluvial,16-27,Flood,87213.71,126.735
Assam,Coconut,Whole Year,77,71,313,6.8,1303,Alluvial,19-27,Flood,89922.52,117.3675
Assam,Coconut,Whole Year,118,59,205,6.8,1558,Alluvial,21-27,Flood,86816.06,102.26955400000008
Assam,Coconut,Whole Year,123,57,212,7.0,1677,Alluvial,21-29,Flood,84636.37,96.5383
Assam,Coconut,Whole Year,123,53,204,6.8,1618,Alluvial,22-27,Flood,84912.58,110.3214
Assam,Coconut,Whole Year,86,63,275,6.4,1735,Alluvial,22-30,Flood,86343.93,118.202475
Assam,Coconut,Whole Year,88,61,248,6.2,1679,Alluvial,23-29,Flood,88044.52,107.7087
Assam,Coconut,Whole Year,83,57,278,6.6,1718,Alluvial,22-28,Flood,85886.14,107.0374
Assam,Coconut,Whole Year,112,77,228,6.5,1709,Alluvial,21-31,Flood,87038.16,102.26955400000008
Assam,Coconut,Whole Year,107,68,209,6.5,1850,Alluvial,21-30,Flood,86741.48,106.1686
Assam,Coconut,Whole Year,117,71,240,6.6,1866,Alluvial,19-32,Flood,88081.19,107.3645
Assam,Coconut,Whole Year,86,55,287,6.9,1771,Alluvial,18-29,Flood,85807.4,116.51262699999997
